ID,Name,Team,Games,Sport,Event,Medal
3398,Rolf-Dieter Amend,East Germany-1,1972 Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
3433,Sbastien Amiez,France,2002 Winter,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
3453,Slava Lvovich Amiragov,Soviet Union,1952 Summer,Rowing,Rowing Men's Coxed Eights,Silver
3461,Salvatore Amitrano,Italy,2004 Summer,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
3466,"Joseph Brian ""Joe"" Amlong",United States,1964 Summer,Rowing,Rowing Men's Coxed Eights,Gold
3467,"Thomas Kennedy ""Tom"" Amlong",United States,1964 Summer,Rowing,Rowing Men's Coxed Eights,Gold
3472,Simon Ammann,Switzerland,2002 Winter,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
3472,Simon Ammann,Switzerland,2002 Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold
3472,Simon Ammann,Switzerland,2010 Winter,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
3472,Simon Ammann,Switzerland,2010 Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold
3476,Max Heinrich Ammermann,Favorite Hammonia-3,1900 Summer,Rowing,Rowing Men's Coxed Fours,Bronze
3477,Otto Ammermann,West Germany,1976 Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
3487,Daniel Owofin Amokachi,Nigeria,1996 Summer,Football,Football Men's Football,Gold
3491,"Anthony Lewis ""Tony"" Amonte",United States,2002 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
3493,Edward John Amoore,Great Britain,1908 Summer,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Gold
3493,Edward John Amoore,Great Britain,1908 Summer,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Bronze
3494,"Judith Florence ""Judy"" Amoore-Pollock",Australia,1964 Summer,Athletics,Athletics Women's 400 metres,Bronze
3507,Vanessa Amors Quiles,Spain,2012 Summer,Handball,Handball Women's Handball,Bronze
3512,Nijel Carlos Amilfitano Amos,Botswana,2012 Summer,Athletics,Athletics Men's 800 metres,Silver
3514,Zinaida Stepanovna Amosova (Shishkina-),Soviet Union,1976 Winter,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
3516,Gustave Joseph Amoudruz,Switzerland,1920 Summer,Shooting,"Shooting Men's Military Pistol, Team",Bronze
3516,Gustave Joseph Amoudruz,Switzerland,1920 Summer,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
3519,Roman Amoyan,Armenia,2008 Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
3522,Edgar Montague Amphlett,Great Britain,1908 Summer,Fencing,"Fencing Men's epee, Team",Silver
3525,Uwe Ampler,East Germany,1988 Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
3536,Franz Albert Amrhein,Frankfurt Club,1900 Summer,Rugby,Rugby Men's Rugby,Silver
3537,Marwa Al-Amri,Tunisia,2016 Summer,Wrestling,"Wrestling Women's Lightweight, Freestyle",Bronze
3544,Gaston Marcel Amson,France,1920 Summer,Fencing,"Fencing Men's Foil, Team",Silver
3544,Gaston Marcel Amson,France,1920 Summer,Fencing,"Fencing Men's epee, Team",Bronze
3544,Gaston Marcel Amson,France,1928 Summer,Fencing,"Fencing Men's epee, Team",Silver
3552,Gail Amundrud (-Beattie),Canada,1976 Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
3554,Arthur Martinius Amundsen,Norway,1908 Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
3554,Arthur Martinius Amundsen,Norway,1912 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
3557,Steinar Amundsen,Norway,1968 Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
3557,Steinar Amundsen,Norway,1972 Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
3559,Emmanuel Amunike,Nigeria,1996 Summer,Football,Football Men's Football,Gold
3561,Stanley Amuzie,Nigeria,2016 Summer,Football,Football Men's Football,Bronze
3563,"Francis ""Frank"" Amyot",Canada,1936 Summer,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
3566,An Ba-Ul,South Korea,2016 Summer,Judo,Judo Men's Half-Lightweight,Silver
3567,An Byeong-Geun,South Korea,1984 Summer,Judo,Judo Men's Lightweight,Gold
3574,An Dae-Hyeon,South Korea,1988 Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
3581,An Han-Bong,South Korea,1992 Summer,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
3585,An Jae-Hyeong,South Korea-2,1988 Summer,Table Tennis,Table Tennis Men's Doubles,Bronze
3589,An Jeong-Hwa,South Korea,2008 Summer,Handball,Handball Women's Handball,Bronze
3593,An Kum-Ae,North Korea,2008 Summer,Judo,Judo Women's Half-Lightweight,Silver
3593,An Kum-Ae,North Korea,2012 Summer,Judo,Judo Women's Half-Lightweight,Gold
3595,An Sang-Mi,South Korea,1998 Winter,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
3604,Viktor An,South Korea,2006 Winter,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Bronze
3604,Viktor An,South Korea,2006 Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold
3604,Viktor An,South Korea,2006 Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Gold
3604,Viktor An,South Korea,2006 Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
3604,Viktor An,Russia,2014 Winter,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Gold
3604,Viktor An,Russia,2014 Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold
3604,Viktor An,Russia,2014 Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Bronze
3604,Viktor An,Russia,2014 Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
3608,An Yeong-Su,South Korea,1984 Summer,Boxing,Boxing Men's Welterweight,Silver
3610,An Yulong,China,1998 Winter,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Silver
3610,An Yulong,China,1998 Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
3610,An Yulong,China,2002 Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
3611,An Zhongxin,China,1996 Summer,Softball,Softball Women's Softball,Silver
3612,Ana Flvia Chritaro Daniel Sanglard,Brazil,1996 Summer,Volleyball,Volleyball Women's Volleyball,Bronze
3615,Ana Paula Rodrigues Connelly (-Rodrigues Henkel),Brazil,1996 Summer,Volleyball,Volleyball Women's Volleyball,Bronze
3626,"Douglas Thomas ""Doug"" Anakin",Canada-1,1964 Winter,Bobsleigh,Bobsleigh Men's Four,Gold
3632,Borislav Ananiev,Bulgaria,1980 Summer,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
3635,Tatyana Vasilyevna Ananko,Belarus,2000 Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
3643,Flavio Anastasia,Italy,1992 Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
3652,Svetlana Anastasovski-Obuina,Yugoslavia,1980 Summer,Handball,Handball Women's Handball,Silver
3652,Svetlana Anastasovski-Obuina,Yugoslavia,1984 Summer,Handball,Handball Women's Handball,Gold
3659,Mario Ani,Croatia,2004 Summer,Tennis,Tennis Men's Doubles,Bronze
3661,"Julius Theodoor ""Jules"" Ancion",Netherlands,1952 Summer,Hockey,Hockey Men's Hockey,Silver
3662,Zygmunt Jzef Anczok,Poland,1972 Summer,Football,Football Men's Football,Gold
3672,milie Andol,France,2016 Summer,Judo,Judo Women's Heavyweight,Gold
3673,Olle Henrik Martin Anderberg,Sweden,1948 Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
3673,Olle Henrik Martin Anderberg,Sweden,1952 Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
3676,"Stefan ""Steve"" Anderhub",Switzerland-1,2002 Winter,Bobsleigh,Bobsleigh Men's Two,Silver
3681,"Elizabeth Rambo ""Beth"" Anders",United States,1984 Summer,Hockey,Hockey Women's Hockey,Bronze
3684,Aage Jrgen Christian Andersen,Denmark,1906 Summer,Football,Football Men's Football,Gold
3686,Alf Steen Andersen,Norway,1928 Winter,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
3687,Anders Peter Andersen,Denmark,1908 Summer,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
3690,Anja Jul Andersen,Denmark,1996 Summer,Handball,Handball Women's Handball,Gold
3691,Anne Dsane Andersen,Denmark,2016 Summer,Rowing,Rowing Women's Coxless Pairs,Bronze
3692,Anne Nymark Andersen (-Rylandsholm),Norway,1996 Summer,Football,Football Women's Football,Bronze
3696,Axel Sigurd Andersen,Denmark,1912 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze
3701,Camilla Rseler Andersen,Denmark,1996 Summer,Handball,Handball Women's Handball,Gold
3701,Camilla Rseler Andersen,Denmark,2000 Summer,Handball,Handball Women's Handball,Gold
3702,Carl Andersen,Denmark,1906 Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
3703,Carl Albert Andersen,Norway,1900 Summer,Athletics,Athletics Men's Pole Vault,Bronze
3703,Carl Albert Andersen,Norway,1906 Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
3703,Carl Albert Andersen,Norway,1908 Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
3705,Carl Rudolf Svend Andersen,Denmark,1920 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
3706,Carl-Ebbe Andersen,Denmark,1948 Summer,Rowing,Rowing Men's Coxed Pairs,Gold
3718,Johan Frederik Kobberup Andersen,Denmark,1948 Summer,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
3720,Frithjof Andersen,Norway,1920 Summer,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
3725,"Greta Marie Andersen (-Sonnichsen, -Veress)",Denmark,1948 Summer,Swimming,Swimming Women's 100 metres Freestyle,Gold
3725,"Greta Marie Andersen (-Sonnichsen, -Veress)",Denmark,1948 Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
3734,Hjalmar Johan Andersen,Norway,1952 Winter,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
3734,Hjalmar Johan Andersen,Norway,1952 Winter,Speed Skating,"Speed Skating Men's 5,000 metres",Gold
3734,Hjalmar Johan Andersen,Norway,1952 Winter,Speed Skating,"Speed Skating Men's 10,000 metres",Gold
3735,Hjalmart Nrregaard Andersen (-Eering),Denmark,1912 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze
3749,Jrgen Marius Andersen,Norway,1912 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
3749,Jrgen Marius Andersen,Norway,1920 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
3754,Kjerstin Andersen,Norway,1988 Summer,Handball,Handball Women's Handball,Silver
3756,Kristine Andersen,Denmark,2004 Summer,Handball,Handball Women's Handball,Gold
3760,Linda Widwey Andersen (-Cerup-Simonsen),Norway,1992 Summer,Sailing,Sailing Women's One Person Dinghy,Gold
3761,Mads Christian Kruse Andersen,Denmark,2008 Summer,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
3762,Peter Marius Andersen,Denmark,1908 Summer,Football,Football Men's Football,Silver
3765,Niels Andersen,Denmark,1912 Summer,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
3767,Nina Nymark Andersen (-Jakobsen),Norway,1996 Summer,Football,Football Women's Football,Bronze
3768,Ove Andersen,Finland,1928 Summer,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
3771,Peter Villemoes Andersen,Denmark,1912 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
3773,"Paul Kuhlman ""Poul"" Andersen",Denmark,1960 Summer,Football,Football Men's Football,Silver
3775,Reidar Andersen,Norway,1936 Winter,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Bronze
3782,Terje Andersen,Norway,1980 Winter,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
3785,Vigo Carl Andersen,Denmark,1906 Summer,Football,Football Men's Football,Gold
3788,Grete Andersen-Waitz,Norway,1984 Summer,Athletics,Athletics Women's Marathon,Silver
3789,nderson Lus de Abreu Oliveira,Brazil,2008 Summer,Football,Football Men's Football,Bronze
3790,Anderson de Oliveira Rodrigues,Brazil,2004 Summer,Volleyball,Volleyball Men's Volleyball,Gold
3790,Anderson de Oliveira Rodrigues,Brazil,2008 Summer,Volleyball,Volleyball Men's Volleyball,Silver
3792,Alyssa Jean Anderson,United States,2012 Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
3793,Andrea Arlene Anderson (-Bolder),United States,2000 Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
3797,Brett Franklin Anderson,United States,2008 Summer,Baseball,Baseball Men's Baseball,Bronze
3799,Charles Howard Anderson,United States,1948 Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
3803,Craig Anthony Anderson,Australia,2004 Summer,Baseball,Baseball Men's Baseball,Silver
3805,"David Rollo ""Dave"" Anderson",Australia,1952 Summer,Rowing,Rowing Men's Coxed Eights,Bronze
3808,David Anderson,Canada,1960 Summer,Rowing,Rowing Men's Coxed Eights,Silver
3815,Gary Lee Anderson,United States,1964 Summer,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
3815,Gary Lee Anderson,United States,1968 Summer,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Gold
3816,Gary John Anderson,New Zealand,1992 Summer,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
3820,Haley Danita Anderson,United States,2012 Summer,Swimming,Swimming Women's 10 kilometres Open Water,Silver
3823,Jamie Louise Anderson,United States,2014 Winter,Snowboarding,Snowboarding Women's Slopestyle,Gold
3824,Jasey-Jay Anderson,Canada,2010 Winter,Snowboarding,Snowboarding Men's Parallel Giant Slalom,Gold
3828,John Franklin Anderson,United States,1932 Summer,Athletics,Athletics Men's Discus Throw,Gold
3831,John Edward Anderson,Australia,1972 Summer,Sailing,Sailing Mixed Two Person Keelboat,Gold
3845,"Matthew John ""Matt"" Anderson",United States,2016 Summer,Volleyball,Volleyball Men's Volleyball,Bronze
3847,Miller Altman Anderson,United States,1948 Summer,Diving,Diving Men's Springboard,Silver
3847,Miller Altman Anderson,United States,1952 Summer,Diving,Diving Men's Springboard,Silver
3853,Paul Richard Anderson,Great Britain,1968 Summer,Sailing,Sailing Mixed 5.5 metres,Bronze
3854,Paul Edward Anderson,United States,1956 Summer,Weightlifting,Weightlifting Men's Heavyweight,Gold
3859,John Scott Anderson,Australia,1984 Summer,Sailing,Sailing Mixed Multihull,Bronze
3862,"Stephen Eugene ""Steve"" Anderson",United States,1928 Summer,Athletics,Athletics Men's 110 metres Hurdles,Silver
3864,"Thomas James ""Tom"" Anderson",Australia,1972 Summer,Sailing,Sailing Mixed Three Person Keelboat,Gold
3865,"Osborne ""Ty"" Anderson",United States,1932 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
3869,Wendell Richard Anderson,United States,1956 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
3870,"William ""Will"" Anderson",Canada,1908 Summer,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",Bronze
3871,William Wallace Anderson,Union des Socits Franais de Sports Athletiques,1900 Summer,Cricket,Cricket Men's Cricket,Silver
3872,William Harding Anderson,Great Britain,1924 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
3874,"William Lloyd ""Willie"" Anderson, Jr.",United States,1988 Summer,Basketball,Basketball Men's Basketball,Bronze
3880,Agneta Monica Andersson,Sweden,1984 Summer,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
3880,Agneta Monica Andersson,Sweden,1984 Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
3880,Agneta Monica Andersson,Sweden,1984 Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
3880,Agneta Monica Andersson,Sweden,1992 Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
3880,Agneta Monica Andersson,Sweden,1992 Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
3880,Agneta Monica Andersson,Sweden,1996 Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
3880,Agneta Monica Andersson,Sweden,1996 Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
3882,ke Gustav Andersson,Sweden,1952 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
3883,Albert Per Andersson,Sweden,1920 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
3885,ke Anders Andersson,Sweden,1964 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
3887,Anders Wilhelm Andersson,Sweden,1920 Summer,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Silver
3889,Anna Christina Andersson,Sweden,2002 Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
3890,Karl Arvid Andersson (-Holtman),Sweden,1920 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
3891,Arvid Leander Andersson,Sweden,1912 Summer,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
3897,Bjarne Lennart Andersson,Sweden,1968 Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
3903,Cecilia Christine Elisabeth Andersson,Sweden,2006 Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
3912,Klas Erik Andersson,Sweden,1920 Summer,Water Polo,Water Polo Men's Water Polo,Bronze
3914,Frank ivind Stefan Andersson,Sweden,1984 Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
3918,Erik Gsta Andersson,Sweden,1948 Summer,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
3918,Erik Gsta Andersson,Sweden,1952 Summer,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
3920,Gunilla Victoria Andersson,Sweden,2002 Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
3920,Gunilla Victoria Andersson,Sweden,2006 Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
3925,Svensk Hjalmar Zakeus Andersson,Sweden,1912 Summer,Athletics,"Athletics Men's Cross-Country, Individual",Silver
3925,Svensk Hjalmar Zakeus Andersson,Sweden,1912 Summer,Athletics,"Athletics Men's Cross-Country, Team",Gold
3936,Jonna Andersson,Sweden,2016 Summer,Football,Football Women's Football,Silver
3939,Kim Verner Andersson,Sweden,2012 Summer,Handball,Handball Men's Handball,Silver
3945,Bo Leif Andersson,Sweden,1992 Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
3951,Lina Marie Andersson,Sweden,2006 Winter,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,Gold
3954,Per Magnus Andersson,Sweden,1992 Summer,Handball,Handball Men's Handball,Silver
3954,Per Magnus Andersson,Sweden,1996 Summer,Handball,Handball Men's Handball,Silver
3954,Per Magnus Andersson,Sweden,2000 Summer,Handball,Handball Men's Handball,Silver
3959,Erik Mattias Andersson,Sweden,2012 Summer,Handball,Handball Men's Handball,Silver
3960,Olof Mauritz Andersson,Sweden,1908 Summer,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
3964,Bo Mikael Andersson,Sweden,1988 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
3977,Nils Peter Andersson,Sweden,1988 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
3978,Ramon Dean Andersson,Australia,1992 Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
3980,Robert Theodor Andersson,Sweden,1908 Summer,Water Polo,Water Polo Men's Water Polo,Bronze
3980,Robert Theodor Andersson,Sweden,1912 Summer,Water Polo,Water Polo Men's Water Polo,Silver
3980,Robert Theodor Andersson,Sweden,1920 Summer,Water Polo,Water Polo Men's Water Polo,Bronze
3981,Robert Andersson,Sweden,1992 Summer,Handball,Handball Men's Handball,Silver
3981,Robert Andersson,Sweden,1996 Summer,Handball,Handball Men's Handball,Silver
3986,Karl Sigurd Andersson,Sweden,1952 Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
3989,Carl Sture Mikael Andersson,Sweden,1980 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
3990,Sune Isidor Andersson,Sweden,1948 Summer,Football,Football Men's Football,Gold
3993,Thure Elof Andersson,Sweden,1936 Summer,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
3995,Karl Volger Andersson,Sweden,1928 Winter,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
3996,"Kletus Vilhelm ""Wille"" Andersson",Sweden,1912 Summer,Water Polo,Water Polo Men's Water Polo,Silver
3996,"Kletus Vilhelm ""Wille"" Andersson",Sweden,1920 Summer,Water Polo,Water Polo Men's Water Polo,Bronze
3997,Hans Lennart Andersson-Tvilling,Sweden,1952 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
3998,Stig Gunnar Andersson-Tvilling,Sweden,1952 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
4005,Carola Anding (-Jacob),East Germany,1980 Winter,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
4007,Soslan Petrovich Andiyev,Soviet Union,1976 Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
4007,Soslan Petrovich Andiyev,Soviet Union,1980 Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
4013,Kenkichi Ando,Japan,1976 Summer,Weightlifting,Weightlifting Men's Bantamweight,Bronze
4014,Kozue Ando,Japan,2012 Summer,Football,Football Women's Football,Silver
4018,Misako Ando,Japan,2000 Summer,Softball,Softball Women's Softball,Silver
4021,Yuya Ando,Japan,2004 Summer,Baseball,Baseball Men's Baseball,Bronze
4029,Manuel ngel Andrada,Argentina,1936 Summer,Polo,Polo Men's Polo,Gold
4030,Jorge Luiz Andrade da Silva,Brazil,1988 Summer,Football,Football Men's Football,Silver
4042,Jos Leandro Andrade,Uruguay,1924 Summer,Football,Football Men's Football,Gold
4042,Jos Leandro Andrade,Uruguay,1928 Summer,Football,Football Men's Football,Gold
4055,Andr Luiz Moreira,Brazil,1996 Summer,Football,Football Men's Football,Bronze
4057,"William Jules ""Bill"" Andre",United States,1956 Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
4059,"Georges Ivan ""Go"" Andr (Monnard-)",France,1908 Summer,Athletics,Athletics Men's High Jump,Silver
4059,"Georges Ivan ""Go"" Andr (Monnard-)",France,1920 Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
4060,Georges Jules Andr,France,1924 Winter,Curling,Curling Men's Curling,Bronze
4071,Andr Lus dos Santos Ferreira,Brazil,1984 Summer,Football,Football Men's Football,Silver
4083,Larry Edwin Andreasen,United States,1964 Summer,Diving,Diving Men's Springboard,Bronze
4085,Gunn Margit Aas Andreassen,Norway,1998 Winter,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
4085,Gunn Margit Aas Andreassen,Norway,2002 Winter,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
4087,Rolf Siljan Andreassen,Norway,1976 Summer,Rowing,Rowing Men's Coxless Fours,Silver
4094,Alessandro Andrei,Italy,1984 Summer,Athletics,Athletics Men's Shot Put,Gold
4100,Vasile Andrei,Romania,1980 Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
4100,Vasile Andrei,Romania,1984 Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
4101,Andria Suntaque,Brazil,2004 Summer,Football,Football Women's Football,Silver
4101,Andria Suntaque,Brazil,2008 Summer,Football,Football Women's Football,Silver
4108,Arnaldo Andreoli,Italy,1920 Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
4109,Severino Andreoli,Italy,1964 Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
4110,"Giannin ""Gian"" Andreossi",Switzerland,1928 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
4111,"Munrezzan ""Mezzi"" Andreossi",Switzerland,1928 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
4116,Ioannis Andreou,Greece,1896 Summer,Swimming,"Swimming Men's 1,200 metres Freestyle",Silver
4121,Dominic Andres,Switzerland,1998 Winter,Curling,Curling Men's Curling,Gold
4123,Cyril Romain Andresen,Tip,1956 Summer,Sailing,Sailing Mixed Three Person Keelboat,Silver
4124,Frode Andresen,Norway,1998 Winter,Biathlon,Biathlon Men's 10 kilometres Sprint,Silver
4124,Frode Andresen,Norway,2002 Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
4124,Frode Andresen,Norway,2006 Winter,Biathlon,Biathlon Men's 10 kilometres Sprint,Bronze
4145,"Janice ""Jan"" Andrew (-Thornett)",Australia,1960 Summer,Swimming,Swimming Women's 100 metres Butterfly,Bronze
4145,"Janice ""Jan"" Andrew (-Thornett)",Australia,1960 Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
4153,Arthur Fleming Andrews,United States,1904 Summer,Cycling,Cycling Men's 5 mile,Bronze
4153,Arthur Fleming Andrews,United States,1904 Summer,Cycling,Cycling Men's 25 mile,Silver
4161,Scott Andrews,Great Britain,2014 Winter,Curling,Curling Men's Curling,Silver
4163,"Michelle ""Shelley"" Andrews (-Mitchell)",Australia,1996 Summer,Hockey,Hockey Women's Hockey,Gold
4165,Theresa Andrews,United States,1984 Summer,Swimming,Swimming Women's 100 metres Backstroke,Gold
4165,Theresa Andrews,United States,1984 Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
4166,"Walter Emanuel ""Walt"" Andrews",Canada,1908 Summer,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",Bronze
4168,Boris Vasilyevich Andreyev,Soviet Union,1952 Summer,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
4168,Boris Vasilyevich Andreyev,Soviet Union,1952 Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
4173,Sergey Vasilyevich Andreyev,Soviet Union,1980 Summer,Football,Football Men's Football,Bronze
4176,Vladimir Georgiyevich Andreyev,Soviet Union,1968 Summer,Basketball,Basketball Men's Basketball,Bronze
4179,Vladimir Vasilyevich Andreyev,Russia,2000 Summer,Athletics,Athletics Men's 20 kilometres Walk,Bronze
4187,Yelena Valentinovna Andreyuk (-Chesnokova),Soviet Union,1980 Summer,Volleyball,Volleyball Women's Volleyball,Gold
4189,Nikolaos Andriakopoulos,Greece,1896 Summer,Gymnastics,Gymnastics Men's Rope Climbing,Gold
4198,Nikolay Yefimovich Andrianov,Soviet Union,1972 Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
4198,Nikolay Yefimovich Andrianov,Soviet Union,1972 Summer,Gymnastics,Gymnastics Men's Floor Exercise,Gold
